mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,zcr,rms,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,speaker,session
-311.31766,113.22683,-7.4422884,43.144596,9.496061,18.003542,8.36814,15.612865,-3.3192399,10.206434,-1.5741782,2.7707396,1.5626403,0.62910944,0.57983845,0.600367,0.5470955,0.5431585,0.55007625,0.60953736,0.6788064,0.6858317,0.6804847,0.75633913,0.6959002,21.292671804161422,11.300870673155794,14.753196596808117,13.726366609163337,14.350179533840606,16.78019530906871,21.879576275456518,0.04300204190340909,0.041689925,7.2101836,-1.2580308,-1.1015782,1.8267747,0.54975164,-0.69578457,-1.0289785,-0.6087325,-0.7007273,0.3145623,-0.86100364,-0.88667834,-0.20817685,Drake,04
-205.20541,98.29672,-28.313984,57.56443,11.526846,15.9919195,-1.409678,8.5174675,-20.187574,15.42022,-11.59471,-0.2658458,2.620218,0.60045505,0.51945585,0.43217173,0.37338468,0.351831,0.37178504,0.4119136,0.5486365,0.64320064,0.5440224,0.4338482,0.4556165,22.671489424252595,13.216465760072678,17.894602553601374,15.788432560896876,15.52317670283789,21.357002510218695,26.089454454507358,0.11959561434659091,0.08139611,4.382295,0.41664073,-1.0678111,0.73307806,1.2891446,-0.7398691,-0.35984027,0.1714562,-0.8726507,0.0706376,-0.06792076,0.052232444,0.23773192,Drake,04
-173.92049,84.80531,-34.027378,71.21588,14.898031,14.758674,-10.707932,11.039862,-18.714132,14.545502,-14.995245,-0.081381194,0.59951633,0.49403,0.4427432,0.37639314,0.38751268,0.3219015,0.23175634,0.22860497,0.33423486,0.45827076,0.49075556,0.44117773,0.35512364,23.23081078528646,17.166099726392332,17.765953530480626,16.18010918572931,17.457595053595842,22.508561919668963,27.99433836147847,0.1646395596590909,0.08327874,-0.3174293,0.35435686,-0.88824725,1.1513118,1.1438805,-0.8734457,-0.27797595,1.2089711,-0.19074427,-0.25534993,0.05980451,-0.18780552,0.025688838,Drake,04
-208.61801,125.47828,-34.10934,64.40995,24.359766,9.848191,-4.944034,17.291838,-19.125917,8.712155,-12.379041,-5.8885174,-2.5637403,0.3890396,0.38858968,0.42269716,0.3930032,0.3367251,0.26385546,0.36636594,0.47034675,0.46164513,0.46513948,0.43974322,0.39192292,23.035540490245644,17.182413324429017,18.931083623817067,15.200316869572646,17.138678018885262,22.93251927781884,25.118574705449443,0.10817649147727272,0.07493916,1.0555967,1.8830657,-1.457333,0.13820058,0.32968467,-1.1049565,0.10904283,-0.012052205,-0.3352528,0.75842303,0.042302188,-0.18604623,0.077460885,Drake,04
-226.59349,147.72096,-41.128765,64.57795,22.997622,6.765073,1.1842728,15.525758,-19.432165,12.784013,-11.044032,-3.360598,-2.004269,0.56614345,0.40827608,0.40618086,0.3366408,0.397248,0.4488388,0.47208178,0.4867202,0.4348161,0.3280602,0.30091685,0.5582767,23.889971662536105,16.936916063404336,18.2852152431962,15.974736173748227,17.02644074600027,24.36766269801869,24.083384876999787,0.08185369318181818,0.06995848,-0.20173597,0.4457346,0.5944142,-0.39353344,-0.94073147,0.12047265,0.66410977,-0.610754,-0.14966293,0.20994252,0.13436522,-0.19826029,8.924441e-06,Drake,04
-241.49034,107.344406,-25.12649,77.501785,20.5974,10.491375,0.7391905,15.655939,-8.527757,15.363827,-9.399186,3.0168962,-5.2019067,0.5080426,0.39827472,0.36677855,0.35779688,0.40783262,0.41488898,0.3299782,0.33338636,0.36574563,0.49932843,0.5571275,0.6269457,23.08296357973635,18.448088169864786,16.603289805314688,15.62410920790356,16.91527411854773,22.467625769180575,25.779445167568962,0.10625665838068182,0.060951293,-4.510974,-1.9154826,2.3385148,-0.6605684,-1.1253848,0.6571446,0.28602532,0.45620745,0.7615639,-0.1169291,-0.2234784,0.3614043,-0.07660028,Drake,04
-228.08969,133.402,-27.914703,51.326244,18.74138,12.18266,2.1246948,16.284494,-20.168436,10.8682375,-4.3649015,-3.0157125,-5.8601713,0.38423473,0.479173,0.42685664,0.42100775,0.36140776,0.37575656,0.40563348,0.42566806,0.44019032,0.5160401,0.4843923,0.32661092,23.813961985614675,18.194531351027795,16.946724497242766,15.424012243677499,16.737583433116463,22.11901573704968,23.717540149768197,0.08021129261363637,0.06953159,0.28410628,1.7967572,-0.44636613,-1.553,0.1002245,0.27146515,-0.25054342,0.27237606,-0.102574736,-0.5004993,0.13147792,0.22421516,0.045136236,Drake,04
-263.2807,132.94244,-15.175647,36.284424,3.9790611,20.911434,2.5028412,14.245245,-14.190746,13.867532,-3.258251,4.688575,-4.7652993,0.5544891,0.6217624,0.59471613,0.54597026,0.52842146,0.54724884,0.5683473,0.582814,0.535258,0.47998226,0.49280998,0.53974235,22.53792137629964,14.169095204636129,16.562788579603843,13.91400851129054,15.813291566070761,19.347854368456527,22.945096638011474,0.07456276633522728,0.049320575,-3.6960785,-0.9758419,0.61042553,0.30315784,0.30349582,-0.4957077,0.35036516,0.2918291,1.040704,0.34430972,0.0055552246,-0.04923985,0.03083086,Drake,04
-324.95236,107.26678,3.33308,44.187893,4.8378177,26.814137,2.8547204,12.191421,-2.6680617,16.853384,-4.522342,12.061582,-2.425705,0.6869538,0.5889636,0.5552798,0.58957785,0.60358673,0.60395104,0.5898228,0.6350291,0.6273437,0.6286487,0.7233783,0.7473846,20.914212003870137,12.03118704273055,14.773573561205655,13.96559886768017,15.265114394982362,16.694915433317842,21.743786196177023,0.06591796875,0.021232262,-1.8309283,2.282134,-0.51245207,-0.9379415,1.0288142,-0.52882,-0.0443728,-0.0878767,-0.21376354,0.014567265,0.16686772,-0.049276743,0.31349784,Drake,04
-309.5714,141.49347,-9.245759,40.28333,17.506273,25.906567,5.3701596,5.115928,-18.851149,12.9480505,-4.2047873,0.9297089,-4.769114,0.47200748,0.42218953,0.42845696,0.45841572,0.501793,0.4272476,0.4895251,0.5185006,0.5713482,0.728013,0.66427875,0.5065469,21.83689602907378,13.43677769684801,16.714816167994808,15.17581072716963,17.760907418666946,18.36948030689155,20.664166591868124,0.03653231534090909,0.033713125,2.5578458,-1.1309506,-0.6541493,0.9008507,0.20952316,-0.0014127926,-0.7674189,-0.23633137,-0.49814117,-0.03808805,-0.23245417,-0.25350538,-0.13136178,Drake,04
-260.10556,129.52036,-13.815344,43.012768,7.4526105,22.905382,7.544855,7.501976,-29.72772,10.54369,-9.381923,-3.0751264,-3.384111,0.3230004,0.26244652,0.26380172,0.24194056,0.27381593,0.2869812,0.5437638,0.56468034,0.4627984,0.5805693,0.5830708,0.4165528,20.47702839727756,14.286307722712825,18.18494105909959,16.9602621046912,18.43635683737157,20.275617308835884,23.89137525794537,0.08183149857954546,0.039766137,2.3568475,0.5056709,-1.6885152,-0.22987442,-0.11426322,-0.74679893,0.13621993,-0.3645612,-0.55671346,0.08299949,0.24330707,-0.11978352,0.5655479,Drake,04
-239.89058,127.57951,-16.001244,33.61299,-6.6006413,3.7448974,0.09423568,15.756802,-23.830458,8.410768,-6.7145295,5.0986233,7.108566,0.36816156,0.24299075,0.21870947,0.3002152,0.4201065,0.5014545,0.49423182,0.33007672,0.34456685,0.42700043,0.3954015,0.44040596,20.857902210044703,14.20650423354722,18.001035598974166,18.397765783220656,17.04386316550941,20.143109004250643,23.793486504815405,0.08716930042613637,0.040612843,0.2872829,3.56378,-0.30970284,-1.5210246,-0.23081903,-0.98765045,-0.122309595,0.0075515835,-0.09078277,-0.5940803,0.11747083,-0.022721892,-0.12530488,Drake,04
